Candidate family name,Candidate given name,Candidate MNIS ID,Candidate is sitting MP,Candidate is former MP,Candidate Member URL,Main party name,Main party abbreviation,Main party MNIS ID,Main party URL,Adjunct party name,Adjunct party abbreviation,Candidate is standing as Commons Speaker,Candidate is standing as independent,Candidate is notional political party aggregate,Candidate vote count,Candidate vote share,Candidate vote change,Candidate result position
Spencer,Hannah,5447,false,false,https://electionresults.parliament.uk/members/5447,Green Party,Green,44,https://electionresults.parliament.uk/political-parties/2,,,false,false,false,14980,0.406,0.274,1
Goodwin,Matt,,false,false,,Reform UK,RUK,1036,https://electionresults.parliament.uk/political-parties/257,,,false,false,false,10578,0.287,0.146,2
Stogia,Angeliki,,false,false,,Labour,Lab,15,https://electionresults.parliament.uk/political-parties/3,,,false,false,false,9364,0.254,-0.254,3
Cadden,Charlotte Anne,,false,false,,Conservative,Con,4,https://electionresults.parliament.uk/political-parties/1,,,false,false,false,706,0.019,-0.06,4
Pearcey,Jackie,,false,false,,Liberal Democrat,LD,17,https://electionresults.parliament.uk/political-parties/4,,,false,false,false,653,0.018,-0.02,5
A-Lot,Sir Oink,,false,false,,Official Monster Raving Loony Party,MRLP,119,https://electionresults.parliament.uk/political-parties/12,,,false,false,false,159,0.004,,6
Buckley,Nick,,false,false,,Advance UK,AUK,1116,https://electionresults.parliament.uk/political-parties/317,,,false,false,false,154,0.004,,7
O'Meachair,Joseph,,false,false,,Rejoin EU,REU,1040,https://electionresults.parliament.uk/political-parties/266,,,false,false,false,98,0.003,,8
Clarke,Dan,,false,false,,Libertarian Party,LPUK,1003,https://electionresults.parliament.uk/political-parties/130,,,false,false,false,47,0.001,,9
Moore,Sebastian,,false,false,,Social Democratic Party,SDP,32,https://electionresults.parliament.uk/political-parties/38,,,false,false,false,46,0.001,,10
Wils,Hugo,,false,false,,Communist League Election Campaign,Comm L,77,https://electionresults.parliament.uk/political-parties/77,,,false,false,false,29,0.001,,11


