Candidate family name,Candidate given name,Candidate MNIS ID,Candidate is sitting MP,Candidate is former MP,Candidate Member URL,Main party name,Main party abbreviation,Main party MNIS ID,Main party URL,Adjunct party name,Adjunct party abbreviation,Candidate is standing as Commons Speaker,Candidate is standing as independent,Candidate is notional political party aggregate,Candidate vote count,Candidate vote share,Candidate vote change,Candidate result position
Pochin,Sarah Joanne,5403,false,false,https://electionresults.parliament.uk/members/5403,Reform UK,RUK,1036,https://electionresults.parliament.uk/political-parties/257,,,false,false,false,12645,0.38723,0.205225,1
Shore,Karen Louise,,false,false,,Labour,Lab,15,https://electionresults.parliament.uk/political-parties/3,,,false,false,false,12639,0.387046,-0.142958,2
Houlston,Sean,,false,false,,Conservative,Con,4,https://electionresults.parliament.uk/political-parties/1,,,false,false,false,2341,0.071689,-0.088497,3
Copeman,Chris,,false,false,,Green Party,Green,44,https://electionresults.parliament.uk/political-parties/2,,,false,false,false,2314,0.070862,0.006678,4
Duffy,Paul Michael,,false,false,,Liberal Democrat,LD,17,https://electionresults.parliament.uk/political-parties/4,,,false,false,false,942,0.028847,-0.022228,5
Clarke,Dan,,false,false,,Liberal,Lib,16,https://electionresults.parliament.uk/political-parties/56,,,false,false,false,454,0.013903,0.002867,6
Williams,Michael,,false,false,,,,,,,,false,true,false,363,0.011116,,7
McKie,Alan,,false,false,,,,,,,,false,true,false,269,0.008238,,8
Ford,Peter,,false,false,,Workers Party of Britain,WPB,1042,https://electionresults.parliament.uk/political-parties/261,,,false,false,false,164,0.005022,,9
Stevens,John,,false,false,,Rejoin EU,REU,1040,https://electionresults.parliament.uk/political-parties/266,,,false,false,false,129,0.00395,,10
Hope,Howling Laud,,false,false,,Official Monster Raving Loony Party,MRLP,119,https://electionresults.parliament.uk/political-parties/12,,,false,false,false,128,0.00392,,11
Blaiklock,Catherine Anne,,false,false,,English Democrats,ED,90,https://electionresults.parliament.uk/political-parties/15,,,false,false,false,95,0.002909,,12
Murphy,Paul Andrew,,false,false,,Social Democratic Party,SDP,32,https://electionresults.parliament.uk/political-parties/38,,,false,false,false,68,0.002082,-0.000923,13
Hughes,Jason Philip,,false,false,,Volt United Kingdom,VUK,1056,https://electionresults.parliament.uk/political-parties/287,,,false,false,false,54,0.001654,,14
Moore,Graham Harry,,false,false,,English Constitution Party,ECP,1046,https://electionresults.parliament.uk/political-parties/272,,,false,false,false,50,0.001531,,15


