"date","geography","geography code","Number of households: Number of households; measures: Value"
"2021","E00060274","E00060274",112
"2021","E00060275","E00060275",158
"2021","E00060276","E00060276",117
"2021","E00060277","E00060277",122
"2021","E00060279","E00060279",121
"2021","E00060280","E00060280",217
"2021","E00060290","E00060290",116
"2021","E00060364","E00060364",121
"2021","E00060367","E00060367",130
"2021","E00060368","E00060368",119
"2021","E00060369","E00060369",120
"2021","E00060371","E00060371",110
"2021","E00060362","E00060362",139
"2021","E00060363","E00060363",128
"2021","E00060365","E00060365",95
"2021","E00060366","E00060366",123
"2021","E00060370","E00060370",131
"2021","E00060372","E00060372",131
"2021","E00060374","E00060374",138
"2021","E00060376","E00060376",121
"2021","E00060373","E00060373",106
"2021","E00174092","E00174092",104
"2021","E00174093","E00174093",114
"2021","E00174094","E00174094",123
"2021","E00174100","E00174100",179
"2021","E00174102","E00174102",112
"2021","E00060375","E00060375",125
"2021","E00060377","E00060377",108
"2021","E00174098","E00174098",170
"2021","E00174101","E00174101",110
"2021","E00188243","E00188243",132
"2021","E00188304","E00188304",125
"2021","E00188318","E00188318",130
"2021","E00188332","E00188332",120
"2021","E00060283","E00060283",122
"2021","E00060284","E00060284",161
"2021","E00060287","E00060287",132
"2021","E00060288","E00060288",134
"2021","E00060289","E00060289",118
"2021","E00060273","E00060273",150
"2021","E00060278","E00060278",127
"2021","E00060281","E00060281",133
"2021","E00060282","E00060282",140
"2021","E00060285","E00060285",143
"2021","E00060286","E00060286",130
"2021","E00060484","E00060484",121
"2021","E00060486","E00060486",129
"2021","E00060489","E00060489",113
"2021","E00060490","E00060490",134
"2021","E00060491","E00060491",126
"2021","E00060492","E00060492",131
"2021","E00060472","E00060472",123
"2021","E00060474","E00060474",127
"2021","E00060476","E00060476",166
"2021","E00060478","E00060478",137
"2021","E00188301","E00188301",151
"2021","E00188321","E00188321",147
"2021","E00060481","E00060481",127
"2021","E00060482","E00060482",103
"2021","E00060483","E00060483",125
"2021","E00060485","E00060485",123
"2021","E00060487","E00060487",111
"2021","E00060488","E00060488",119
"2021","E00060493","E00060493",145
"2021","E00060471","E00060471",127
"2021","E00060473","E00060473",119
"2021","E00060475","E00060475",114
"2021","E00060479","E00060479",146
"2021","E00060480","E00060480",143
"2021","E00060291","E00060291",96
"2021","E00060292","E00060292",132
"2021","E00060294","E00060294",116
"2021","E00060306","E00060306",115
"2021","E00060309","E00060309",123
"2021","E00060296","E00060296",121
"2021","E00060297","E00060297",110
"2021","E00060299","E00060299",101
"2021","E00060302","E00060302",129
"2021","E00060304","E00060304",82
"2021","E00060305","E00060305",152
"2021","E00060550","E00060550",81
"2021","E00060552","E00060552",132
"2021","E00165757","E00165757",88
"2021","E00060532","E00060532",136
"2021","E00060533","E00060533",150
"2021","E00060540","E00060540",107
"2021","E00060542","E00060542",136
"2021","E00060554","E00060554",132
"2021","E00060555","E00060555",101
"2021","E00165756","E00165756",219
"2021","E00060293","E00060293",127
"2021","E00060295","E00060295",139
"2021","E00060298","E00060298",109
"2021","E00060303","E00060303",83
"2021","E00060307","E00060307",115
"2021","E00060308","E00060308",99
"2021","E00060310","E00060310",117
"2021","E00174095","E00174095",195
"2021","E00060258","E00060258",106
"2021","E00060259","E00060259",106
"2021","E00060260","E00060260",104
"2021","E00060261","E00060261",104
"2021","E00060262","E00060262",106
"2021","E00060263","E00060263",111
"2021","E00060346","E00060346",117
"2021","E00060348","E00060348",144
"2021","E00060350","E00060350",102
"2021","E00060351","E00060351",131
"2021","E00060337","E00060337",138
"2021","E00060340","E00060340",138
"2021","E00060353","E00060353",130
"2021","E00060354","E00060354",124
"2021","E00060518","E00060518",154
"2021","E00060519","E00060519",126
"2021","E00060527","E00060527",138
"2021","E00060528","E00060528",172
"2021","E00060529","E00060529",151
"2021","E00060531","E00060531",119
"2021","E00060517","E00060517",146
"2021","E00060524","E00060524",118
"2021","E00060525","E00060525",141
"2021","E00060526","E00060526",179
"2021","E00060530","E00060530",135
"2021","E00060255","E00060255",155
"2021","E00060265","E00060265",75
"2021","E00060267","E00060267",76
"2021","E00060268","E00060268",77
"2021","E00060269","E00060269",99
"2021","E00060272","E00060272",72
"2021","E00060438","E00060438",132
"2021","E00060449","E00060449",130
"2021","E00060450","E00060450",135
"2021","E00060452","E00060452",137
"2021","E00060445","E00060445",124
"2021","E00060446","E00060446",114
"2021","E00060447","E00060447",116
"2021","E00060448","E00060448",115
"2021","E00060451","E00060451",137
"2021","E00060514","E00060514",152
"2021","E00060515","E00060515",142
"2021","E00060516","E00060516",103
"2021","E00060521","E00060521",119
"2021","E00060523","E00060523",91
"2021","E00165754","E00165754",170
"2021","E00165755","E00165755",174
"2021","E00060256","E00060256",135
"2021","E00060257","E00060257",126
"2021","E00060264","E00060264",115
"2021","E00060266","E00060266",110
