"date","geography","geography code","Number of households: Number of households; measures: Value"
"2021","Darlington","E06000005",48918
"2021","County Durham","E06000047",234761
"2021","Hartlepool","E06000001",40930
"2021","Middlesbrough","E06000002",60262
"2021","Northumberland","E06000057",146922
"2021","Redcar and Cleveland","E06000003",61636
"2021","Stockton-on-Tees","E06000004",83757
"2021","Gateshead","E08000037",88999
"2021","Newcastle upon Tyne","E08000021",122797
"2021","North Tyneside","E08000022",96232
"2021","South Tyneside","E08000023",68287
"2021","Sunderland","E08000024",122177
"2021","Blackburn with Darwen","E06000008",58767
"2021","Blackpool","E06000009",64789
"2021","Cheshire East","E06000049",174856
"2021","Cheshire West and Chester","E06000050",155156
"2021","Halton","E06000006",55951
"2021","Warrington","E06000007",90538
"2021","Cumbria","E10000006",228954
"2021","Bolton","E08000001",118790
"2021","Bury","E08000002",80696
"2021","Manchester","E08000003",214732
"2021","Oldham","E08000004",93140
"2021","Rochdale","E08000005",90223
"2021","Salford","E08000006",115116
"2021","Stockport","E08000007",126648
"2021","Tameside","E08000008",99527
"2021","Trafford","E08000009",96269
"2021","Wigan","E08000010",143105
"2021","Lancashire","E10000017",525247
"2021","Knowsley","E08000011",66073
"2021","Liverpool","E08000012",207491
"2021","Sefton","E08000014",123073
"2021","St. Helens","E08000013",81011
"2021","Wirral","E08000015",143252
"2021","East Riding of Yorkshire","E06000011",152066
"2021","Kingston upon Hull, City of","E06000010",115472
"2021","North East Lincolnshire","E06000012",69826
"2021","North Lincolnshire","E06000013",73173
"2021","York","E06000014",85459
"2021","North Yorkshire","E10000023",274381
"2021","Barnsley","E08000016",108053
"2021","Doncaster","E08000017",133482
"2021","Rotherham","E08000018",113925
"2021","Sheffield","E08000019",231950
"2021","Bradford","E08000032",209867
"2021","Calderdale","E08000033",90476
"2021","Kirklees","E08000034",177989
"2021","Leeds","E08000035",341466
"2021","Wakefield","E08000036",153075
"2021","Derby","E06000015",105652
"2021","Leicester","E06000016",127387
"2021","Nottingham","E06000018",124745
"2021","Rutland","E06000017",16694
"2021","Derbyshire","E10000007",354213
"2021","Leicestershire","E10000018",296407
"2021","Lincolnshire","E10000019",333552
"2021","Nottinghamshire","E10000024",357122
"2021","North Northamptonshire","E06000061",148918
"2021","West Northamptonshire","E06000062",172641
"2021","Herefordshire, County of","E06000019",82827
"2021","Shropshire","E06000051",139579
"2021","Stoke-on-Trent","E06000021",110399
"2021","Telford and Wrekin","E06000020",76510
"2021","Staffordshire","E10000028",375220
"2021","Warwickshire","E10000031",253262
"2021","Birmingham","E08000025",423456
"2021","Coventry","E08000026",134139
"2021","Dudley","E08000027",137069
"2021","Sandwell","E08000028",130246
"2021","Solihull","E08000029",89483
"2021","Walsall","E08000030",112226
"2021","Wolverhampton","E08000031",105141
"2021","Worcestershire","E10000034",259933
"2021","Bedford","E06000055",74950
"2021","Central Bedfordshire","E06000056",120755
"2021","Luton","E06000032",78940
"2021","Peterborough","E06000031",84533
"2021","Southend-on-Sea","E06000033",78344
"2021","Thurrock","E06000034",66377
"2021","Cambridgeshire","E10000003",277634
"2021","Essex","E10000012",626472
"2021","Hertfordshire","E10000015",482893
"2021","Norfolk","E10000020",404341
"2021","Suffolk","E10000029",333543
"2021","Camden","E09000007",92759
"2021","City of London","E09000001",4914
"2021","Hackney","E09000012",106081
"2021","Hammersmith and Fulham","E09000013",81244
"2021","Haringey","E09000014",105092
"2021","Islington","E09000019",96496
"2021","Kensington and Chelsea","E09000020",66884
"2021","Lambeth","E09000022",134688
"2021","Lewisham","E09000023",122392
"2021","Newham","E09000025",115507
"2021","Southwark","E09000028",130818
"2021","Tower Hamlets","E09000030",120539
"2021","Wandsworth","E09000032",137393
"2021","Westminster","E09000033",94815
"2021","Barking and Dagenham","E09000002",73902
"2021","Barnet","E09000003",148917
"2021","Bexley","E09000004",95300
"2021","Brent","E09000005",118612
"2021","Bromley","E09000006",135827
"2021","Croydon","E09000008",152946
"2021","Ealing","E09000009",133659
"2021","Enfield","E09000010",120923
"2021","Greenwich","E09000011",114052
"2021","Harrow","E09000015",89642
"2021","Havering","E09000016",101277
"2021","Hillingdon","E09000017",109228
"2021","Hounslow","E09000018",102961
"2021","Kingston upon Thames","E09000021",65626
"2021","Merton","E09000024",81729
"2021","Redbridge","E09000026",103713
"2021","Richmond upon Thames","E09000027",80705
"2021","Sutton","E09000029",82348
"2021","Waltham Forest","E09000031",102901
"2021","Bracknell Forest","E06000036",50248
"2021","Brighton and Hove","E06000043",121402
"2021","Isle of Wight","E06000046",64775
"2021","Medway","E06000035",111458
"2021","Milton Keynes","E06000042",113102
"2021","Portsmouth","E06000044",86155
"2021","Reading","E06000038",67683
"2021","Slough","E06000039",52423
"2021","Southampton","E06000045",102291
"2021","West Berkshire","E06000037",66658
"2021","Windsor and Maidenhead","E06000040",60932
"2021","Wokingham","E06000041",69164
"2021","Buckinghamshire","E06000060",220328
"2021","East Sussex","E10000011",240119
"2021","Hampshire","E10000014",587693
"2021","Kent","E10000016",648393
"2021","Oxfordshire","E10000025",288108
"2021","Surrey","E10000030",481818
"2021","West Sussex","E10000032",375216
"2021","Bath and North East Somerset","E06000022",79250
"2021","Bristol, City of","E06000023",191638
"2021","Cornwall","E06000052",250535
"2021","Isles of Scilly","E06000053",942
"2021","North Somerset","E06000024",94648
"2021","Plymouth","E06000026",114558
"2021","Bournemouth, Christchurch and Poole","E06000058",173842
"2021","South Gloucestershire","E06000025",118101
"2021","Swindon","E06000030",95862
"2021","Torbay","E06000027",62992
"2021","Wiltshire","E06000054",215081
"2021","Devon","E10000008",352620
"2021","Dorset","E06000059",169261
"2021","Gloucestershire","E10000013",279429
"2021","Somerset","E10000027",250120
"2021","Isle of Anglesey","W06000001",30822
"2021","Gwynedd","W06000002",51105
"2021","Conwy","W06000003",52235
"2021","Denbighshire","W06000004",42387
"2021","Flintshire","W06000005",66911
"2021","Wrexham","W06000006",57914
"2021","Powys","W06000023",60182
"2021","Ceredigion","W06000008",30893
"2021","Pembrokeshire","W06000009",55488
"2021","Carmarthenshire","W06000010",81759
"2021","Swansea","W06000011",104962
"2021","Neath Port Talbot","W06000012",62375
"2021","Bridgend","W06000013",62360
"2021","Vale of Glamorgan","W06000014",57450
"2021","Cardiff","W06000015",147333
"2021","Rhondda Cynon Taff","W06000016",103339
"2021","Merthyr Tydfil","W06000024",25783
"2021","Caerphilly","W06000018",76257
"2021","Blaenau Gwent","W06000019",30340
"2021","Torfaen","W06000020",40241
"2021","Monmouthshire","W06000021",40923
"2021","Newport","W06000022",66054
